Restaurant Name,Average Rating,Total Popularity
Street Foods by Punjab Grill,1.933333333,79
Kumar Pastry Shop,3.25,79
Chinese King,2.5,77
Faasos,2.9375,77
Raj Rasoi,1.65,76
Druk,3.45,75
Riyaz Chicken Corner,1.7,75
Hyderabad House,3.1,74
Wheelyz,2.85,73
KB's Kulfi & Icecream,3.133333333,73
Shahenshah,3.133333333,72
Brijwasi Restaurant,3,71
Gelato Vinto,2.975,70
Shama Chicken Corner,1.077777778,69
Shree Bikaner Misthan Bhandar,3,69
China Town,2.028571429,68
True Blue,3.166666667,68
The Kitchen,2.95,67
Mitthu Tikki Wala,3.3,67
Fabulous Cake Bites,3.5,67
Reena Restaurant,3.1,66
Bharat Sweets,3.333333333,65
Haldiram Bhujiawala,3.45,62
Shree Durga Dosa,3.05,62
Vadapav Junction,3.45,62
Papa Veg Chinese Food,3.35,62
Aggarwal Sweets India,1.733333333,61
Hot Joint Fast Food,1.3,61
South Indian Cafe,3,60
Senorita's,1.85,60
Hangchuaa's Chinese Food Corner,2.966666667,60
Bake Club,3.15,59
The Blue Tandoor,2.75,59
Garota de Ipanema,4.6,59
Tea Trails,1.85,58
Havmor Ice Cream,3.366666667,57
Mithaas Sweets,2.9,56
Roti Aur Boti,3.35,56
Kolkata Hot Kathi Roll,2.95,56
Weird Time Food,3.35,56
Miam,3.55,55
Ammu's South Indian Restaurant,2.95,55
Kitchen King,1.3,55
Midnight Hunger,3.45,55
Sonya Bakery Cafe,3.4,54
Punjabee's Darbar,3.15,53
Kati Roll Cottage,3.6,53
Nawabi Mughlai Zaika,3.25,53
Zooby's Kitchen,3.15,52
Jack Po!tato's,3.4,52
The Night Owl,1.4,52
Urban Dhaba,2.85,51
Clever Fox Cafe,3.1,51
Gulab,2.95,51
Pandey Chinese Hut,2.7,50
Mirchievous,3.5,50
Gupta Ji Ka Dhaba,1.3,49
Cake Point,1.74,49
Ramesh Vaishno Dhaba,3.1,48
Coco Bambu,4.55,47
New Madras Cafe,1.966666667,47
Green Restaurant,1.8,47
Wah G Wah,1.766666667,46
Fresh n Refresh,3.1,46
New Zaika,2.75,45
Bhappe Di Hatti,3.3,45
The Cake Shop,1.65,44
Super Snacks,1.55,44
Tpot,0.971428571,43
Metro Fast Food,2.65,43
South Indian Hut,1.575,43
EDC Mania,1.65,41
Aggarwal Sweet Corner,1.26,41
Shamji Sweets,3.05,41
Health Buzzz,3.133333333,40
Aggarwal Sweets,0.792857143,39
Breaktym,2.766666667,37
Snack Junction,3.1,37
Momos House,3.1,37
Chao Cart,3.2,36
Aggarwal Sweet India,1.7,35
Pizza Diet,2.75,35
Liquid,3.6,35
Mahi Rasoi,1.3,34
Chaap Point,3.2,34
Faaso's,1.8,34
Aapki Rasoi,1.525,34
Fluffles - The Fluffy Waffle Co.,3,34
China Hut,2.7,34
Spanish Delights,3.3,33
Ram Chinese Food,3,32
Khalsa Veg Corner,3.25,32
The Belgian Fries Company,1.85,32
Konetto Pizza,1.75,32
Standard Sweets,1.8,32
Pizza Yum,2.9,32
34 Parkstreet Lane,3.05,31
The Chef,2.95,31
Dilli Rasoi,1.6,31
China Hot Pot,2.75,31
Evergreen Sweets,2.7,30
Anupam Sweets,2.55,29
The Mirch Masala,3.1,29
Sagar Dhaba,1.55,29
Mom's Kitchen,1.75,28
Amritsari Dhaba,3.05,28
Chawlas 2,1.5,28
Pizza Station,2.166666667,28
Organic Express,3.2,27
Rajshree,3.2,27
The China Town,1.7,27
Cake 24x7,1.65,27
Bikaner Kesarvala,1.6,26
WTF - World's Tastiest Food,2.4,26
Vaishno Rasoi,1.3,26
Juice Lounge,1.7,26
Papa Buns,1.8,26
Punjabi's Veg Grill,2.3,25
Niti Shake & Ice Cream Hub,1.266666667,25
Aggarwal's Sweets Paradise,2.8,24
Crust N Cakes,3.3,24
Sadda Adda,1.75,24
Food Plaza,1.066666667,24
Mr. Baker's,1.5,23
Pasta Hub,3.05,23
Khan Chicken Biryani,2.9,23
Da Pizza Corner,2.26,23
Chinese Food,2,21
Garden Hut,2.9,21
Syall Kotian Da Dhaba,1.5,20
Chinese Food Corner,0.833333333,20
Super Cake Shop,2.05,20
U Like,1.5,19
Green Chilli,1.4,19
Biryani Vice,1.8,19
Mr. Momo,1.35,19
Dolce Gelato,0.885714286,18
Royale Bakers,1.4,18
Chai Mantra,1.6,18
Tandoori Tadka,1.65,18
The Pirates Of China Town,1.6,17
Puja Sandwich House,1.35,17
Hunger's Hub,1.55,16
Zaika Kathi Rolls,1.5,16
Dilli Light,1.3,16
Food Factory,1.5,15
Bakingo,2.85,15
Snack Shack,1.35,15
Dosa Plaza,1.6,15
Bikaner's,2.65,15
